# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	11193	11516	-	WP_103286378.1	WP_103286378.1		hypothetical protein		35588686	CRG89_RS00070	324	107	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	11613	11858	-						35588687	CRG89_RS00075	246		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	11613	11858	-	WP_103286379.1	WP_103286379.1		hypothetical protein		35588687	CRG89_RS00075	246	81	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	12063	13190	+						35588688	CRG89_RS00080	1128		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	12063	13190	+	WP_103286380.1	WP_103286380.1		hypothetical protein		35588688	CRG89_RS00080	1128	375	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	13194	13643	-						35588689	CRG89_RS00085	450		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	13194	13643	-	WP_103286381.1	WP_103286381.1		hypothetical protein		35588689	CRG89_RS00085	450	149	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	13911	14264	-						35588690	CRG89_RS00090	354		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	13911	14264	-	WP_103286382.1	WP_103286382.1		hypothetical protein		35588690	CRG89_RS00090	354	117	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	14378	14716	-						35588691	CRG89_RS00095	339		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	14378	14716	-	WP_103286383.1	WP_103286383.1		nascent polypeptide-associated complex protein		35588691	CRG89_RS00095	339	112	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	14810	15280	-						35588692	CRG89_RS00100	471		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	14810	15280	-	WP_103286384.1	WP_103286384.1		queuine tRNA-ribosyltransferase		35588692	CRG89_RS00100	471	156	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	15387	16418	+						35588693	CRG89_RS00105	1032		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	15387	16418	+	WP_103286385.1	WP_103286385.1		phosphate uptake regulator PhoU		35588693	CRG89_RS00105	1032	343	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	16507	17736	+					hflX	35588694	CRG89_RS00110	1230		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	16507	17736	+	WP_103287821.1	WP_103287821.1		GTPase HflX	hflX	35588694	CRG89_RS00110	1230	409	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	17717	18289	+						35588695	CRG89_RS00115	573		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	17717	18289	+	WP_103286386.1	WP_103286386.1		tRNA (cytidine(56)-2'-O)-methyltransferase		35588695	CRG89_RS00115	573	190	
gene	pseudogene	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	18368	19798	+						35588696	CRG89_RS00120	1431		partial;pseudo
CDS	without_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	18368	19798	+				hypothetical protein		35588696	CRG89_RS00120	1431		partial;pseudo
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	19979	21421	+						35588697	CRG89_RS00125	1443		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	19979	21421	+	WP_103286387.1	WP_103286387.1		4-hydroxybutyryl-CoA dehydratase		35588697	CRG89_RS00125	1443	480	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	21452	21622	+						54129823	CRG89_RS08895	171		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	21452	21622	+	WP_168174123.1	WP_168174123.1		hypothetical protein		54129823	CRG89_RS08895	171	56	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	22547	23101	-						35588698	CRG89_RS00130	555		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	22547	23101	-	WP_103286388.1	WP_103286388.1		gamma-glutamyl-gamma-aminobutyrate hydrolase family protein		35588698	CRG89_RS00130	555	184	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	23169	25988	-						35588699	CRG89_RS00135	2820		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	23169	25988	-	WP_197706646.1	WP_197706646.1		UPF0182 family protein		35588699	CRG89_RS00135	2820	939	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	26080	27432	-						35588700	CRG89_RS00140	1353		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	26080	27432	-	WP_103286389.1	WP_103286389.1		hypothetical protein		35588700	CRG89_RS00140	1353	450	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	27545	28681	-						35588701	CRG89_RS00145	1137		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	27545	28681	-	WP_103286390.1	WP_103286390.1		DNA primase		35588701	CRG89_RS00145	1137	378	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	28739	29596	+						35588702	CRG89_RS00150	858		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	28739	29596	+	WP_217349409.1	WP_217349409.1		deoxyribonuclease IV		35588702	CRG89_RS00150	858	285	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	29618	31090	+					glyS	35588703	CRG89_RS00155	1473		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	29618	31090	+	WP_103286391.1	WP_103286391.1		glycine--tRNA ligase	glyS	35588703	CRG89_RS00155	1473	490	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	31268	33841	-						35588704	CRG89_RS00160	2574		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	31268	33841	-	WP_103286392.1	WP_103286392.1		DNRLRE domain-containing protein		35588704	CRG89_RS00160	2574	857	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	33843	34415	-						35588705	CRG89_RS00165	573		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	33843	34415	-	WP_103286393.1	WP_103286393.1		hypothetical protein		35588705	CRG89_RS00165	573	190	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	34564	35445	+						35588706	CRG89_RS00170	882		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	34564	35445	+	WP_103286394.1	WP_103286394.1		hypothetical protein		35588706	CRG89_RS00170	882	293	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	35595	36818	+						35588707	CRG89_RS00175	1224		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	35595	36818	+	WP_197706644.1	WP_197706644.1		glycosyltransferase family 2 protein		35588707	CRG89_RS00175	1224	407	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	36871	37572	+						35588708	CRG89_RS00180	702		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	36871	37572	+	WP_103286395.1	WP_103286395.1		uracil-DNA glycosylase		35588708	CRG89_RS00180	702	233	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	37546	38340	-						35588709	CRG89_RS00185	795		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	37546	38340	-	WP_148695093.1	WP_148695093.1		aspartate/glutamate racemase family protein		35588709	CRG89_RS00185	795	264	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	38443	39078	+						35588710	CRG89_RS00190	636		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	38443	39078	+	WP_103287826.1	WP_103287826.1		Snf7 family protein		35588710	CRG89_RS00190	636	211	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	39148	39996	-					cobM	35588711	CRG89_RS00195	849		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	39148	39996	-	WP_197706643.1	WP_197706643.1		precorrin-4 C(11)-methyltransferase	cobM	35588711	CRG89_RS00195	849	282	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	40027	40803	-					cobI	35588712	CRG89_RS00200	777		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	40027	40803	-	WP_148695092.1	WP_148695092.1		precorrin-2 C(20)-methyltransferase	cobI	35588712	CRG89_RS00200	777	258	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	40862	41464	-					cbiT	35588713	CRG89_RS00205	603		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	40862	41464	-	WP_103287828.1	WP_103287828.1		precorrin-6Y C5,15-methyltransferase (decarboxylating) subunit CbiT	cbiT	35588713	CRG89_RS00205	603	200	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	41482	41787	-						35588714	CRG89_RS00210	306		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	41482	41787	-	WP_103286398.1	WP_103286398.1		hypothetical protein		35588714	CRG89_RS00210	306	101	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	41927	42517	+						35588715	CRG89_RS00215	591		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	41927	42517	+	WP_158648630.1	WP_158648630.1		CBS domain-containing protein		35588715	CRG89_RS00215	591	196	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	42623	43105	+						35588716	CRG89_RS00220	483		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	42623	43105	+	WP_103286400.1	WP_103286400.1		hypothetical protein		35588716	CRG89_RS00220	483	160	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	43098	43799	+						35588717	CRG89_RS00225	702		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	43098	43799	+	WP_231911595.1	WP_231911595.1		TIGR00296 family protein		35588717	CRG89_RS00225	702	233	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	43851	45095	+						35588718	CRG89_RS00230	1245		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	43851	45095	+	WP_158648631.1	WP_158648631.1		hypothetical protein		35588718	CRG89_RS00230	1245	414	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	45133	46344	-						35588719	CRG89_RS00235	1212		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	45133	46344	-	WP_158648632.1	WP_158648632.1		THUMP domain-containing protein		35588719	CRG89_RS00235	1212	403	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	46438	47745	+					asnS	35588720	CRG89_RS00240	1308		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	46438	47745	+	WP_197706642.1	WP_197706642.1		asparagine--tRNA ligase	asnS	35588720	CRG89_RS00240	1308	435	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	47812	48252	+						35588721	CRG89_RS00245	441		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	47812	48252	+	WP_103286405.1	WP_103286405.1		hypothetical protein		35588721	CRG89_RS00245	441	146	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	48474	49193	+						35588722	CRG89_RS00250	720		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	48474	49193	+	WP_103287829.1	WP_103287829.1		phosphoadenylyl-sulfate reductase		35588722	CRG89_RS00250	720	239	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	49220	50413	+					sat	35588723	CRG89_RS00255	1194		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	49220	50413	+	WP_103286406.1	WP_103286406.1		sulfate adenylyltransferase	sat	35588723	CRG89_RS00255	1194	397	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	50493	51143	+						35588724	CRG89_RS00260	651		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	50493	51143	+	WP_103286407.1	WP_103286407.1		hypothetical protein		35588724	CRG89_RS00260	651	216	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	51179	51925	-						35588725	CRG89_RS00265	747		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	51179	51925	-	WP_174672470.1	WP_174672470.1		endonuclease III		35588725	CRG89_RS00265	747	248	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	51970	53208	+						35588726	CRG89_RS00270	1239		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	51970	53208	+	WP_197706641.1	WP_197706641.1		aconitase X catalytic domain-containing protein		35588726	CRG89_RS00270	1239	412	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	53198	53626	+						35588727	CRG89_RS00275	429		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	53198	53626	+	WP_197706640.1	WP_197706640.1		DUF126 domain-containing protein		35588727	CRG89_RS00275	429	142	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	53946	54530	+						35588728	CRG89_RS00280	585		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	53946	54530	+	WP_103286408.1	WP_103286408.1		AsnC family transcriptional regulator		35588728	CRG89_RS00280	585	194	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	54635	57118	+						35588729	CRG89_RS00285	2484		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	54635	57118	+	WP_158648633.1	WP_158648633.1		copper-translocating P-type ATPase		35588729	CRG89_RS00285	2484	827	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	57172	58191	-						35588730	CRG89_RS00290	1020		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	57172	58191	-	WP_103286410.1	WP_103286410.1		rhomboid family intramembrane serine protease		35588730	CRG89_RS00290	1020	339	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	58281	58460	+						35588731	CRG89_RS00295	180		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	58281	58460	+	WP_103286411.1	WP_103286411.1		4-oxalocrotonate tautomerase family protein		35588731	CRG89_RS00295	180	59	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	58577	59440	+						35588732	CRG89_RS00300	864		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	58577	59440	+	WP_197706639.1	WP_197706639.1		carbon-nitrogen hydrolase family protein		35588732	CRG89_RS00300	864	287	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	59576	60730	+						35588733	CRG89_RS00305	1155		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	59576	60730	+	WP_103286412.1	WP_103286412.1		thiolase domain-containing protein		35588733	CRG89_RS00305	1155	384	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	60754	61173	+						35588734	CRG89_RS00310	420		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	60754	61173	+	WP_103286413.1	WP_103286413.1		OB-fold domain-containing protein		35588734	CRG89_RS00310	420	139	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	61266	61421	+						43521412	CRG89_RS08510	156		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	61266	61421	+	WP_158648634.1	WP_158648634.1		hypothetical protein		43521412	CRG89_RS08510	156	51	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	61581	61781	-						35588735	CRG89_RS00315	201		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	61581	61781	-	WP_103286414.1	WP_103286414.1		hypothetical protein		35588735	CRG89_RS00315	201	66	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	61791	62144	-						35588736	CRG89_RS00320	354		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	61791	62144	-	WP_148695090.1	WP_148695090.1		Rieske (2Fe-2S) protein		35588736	CRG89_RS00320	354	117	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	62199	63149	+						35588737	CRG89_RS00325	951		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	62199	63149	+	WP_103286416.1	WP_103286416.1		FAD-dependent oxidoreductase		35588737	CRG89_RS00325	951	316	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	63201	63641	-						35588738	CRG89_RS00330	441		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	63201	63641	-	WP_148695089.1	WP_148695089.1		DUF1641 domain-containing protein		35588738	CRG89_RS00330	441	146	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	63705	64880	-						35588739	CRG89_RS00335	1176		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	63705	64880	-	WP_103286418.1	WP_103286418.1		NAD(P)/FAD-dependent oxidoreductase		35588739	CRG89_RS00335	1176	391	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	64981	65592	-						35588740	CRG89_RS00340	612		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	64981	65592	-	WP_197706638.1	WP_197706638.1		hypothetical protein		35588740	CRG89_RS00340	612	203	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	65735	67795	+						35588741	CRG89_RS00345	2061		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	65735	67795	+	WP_158648635.1	WP_158648635.1		helix-turn-helix domain-containing protein		35588741	CRG89_RS00345	2061	686	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	67863	70526	+						35588742	CRG89_RS00350	2664		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	67863	70526	+	WP_103286420.1	WP_103286420.1		adenosylcobalamin-dependent ribonucleoside-diphosphate reductase		35588742	CRG89_RS00350	2664	887	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	70660	70932	+						35588743	CRG89_RS00355	273		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	70660	70932	+	WP_103286421.1	WP_103286421.1		hypothetical protein		35588743	CRG89_RS00355	273	90	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	70960	71892	-					pyrB	35588744	CRG89_RS00360	933		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	70960	71892	-	WP_103286422.1	WP_103286422.1		aspartate carbamoyltransferase	pyrB	35588744	CRG89_RS00360	933	310	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	71933	72409	+					pyrI	35588745	CRG89_RS00365	477		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	71933	72409	+	WP_103286423.1	WP_103286423.1		aspartate carbamoyltransferase regulatory subunit	pyrI	35588745	CRG89_RS00365	477	158	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	72381	72845	-						35588746	CRG89_RS00370	465		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	72381	72845	-	WP_148695087.1	WP_148695087.1		hypothetical protein		35588746	CRG89_RS00370	465	154	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	73151	73414	+						35588747	CRG89_RS00375	264		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	73151	73414	+	WP_103286425.1	WP_103286425.1		hypothetical protein		35588747	CRG89_RS00375	264	87	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	73511	74641	+						35588748	CRG89_RS00380	1131		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	73511	74641	+	WP_103286426.1	WP_103286426.1		V-type ATPase subunit		35588748	CRG89_RS00380	1131	376	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	74683	76857	-						35588749	CRG89_RS00385	2175		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	74683	76857	-	WP_103286427.1	WP_103286427.1		ATPase		35588749	CRG89_RS00385	2175	724	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	76928	77209	-						35588750	CRG89_RS00390	282		
CDS	with_protein	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	76928	77209	-	WP_103287835.1	WP_103287835.1		ATP synthase subunit C		35588750	CRG89_RS00390	282	93	
gene	protein_coding	GCF_002906215.1	Primary Assembly	chromosome		NZ_CP024014.1	77529	78254	-						35588751	CRG89_RS00395	726		
