# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	25465	25755	+						41594134	NCAV_RS00135	291		old_locus_tag=NCAV_0028
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	25465	25755	+	WP_103286463.1	WP_103286463.1		cell division protein SepF		41594134	NCAV_RS00135	291	96	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	25833	27863	-						41594135	NCAV_RS00140	2031		old_locus_tag=NCAV_0029
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	25833	27863	-	WP_103286462.1	WP_103286462.1		beta-CASP ribonuclease aCPSF1		41594135	NCAV_RS00140	2031	676	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	27856	28515	-					psmB	41594136	NCAV_RS00145	660		old_locus_tag=NCAV_0030
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	27856	28515	-	WP_103286461.1	WP_103286461.1		archaeal proteasome endopeptidase complex subunit beta	psmB	41594136	NCAV_RS00145	660	219	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	28766	29971	-						41594137	NCAV_RS00150	1206		old_locus_tag=NCAV_0031
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	28766	29971	-	WP_103286460.1	WP_103286460.1		site-2 protease family protein		41594137	NCAV_RS00150	1206	401	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	30009	30323	+						41594138	NCAV_RS00155	315		old_locus_tag=NCAV_0032
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	30009	30323	+	WP_197706635.1	WP_197706635.1		divalent-cation tolerance protein CutA		41594138	NCAV_RS00155	315	104	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	30430	30579	+						55636264	NCAV_RS08330	150		old_locus_tag=NCAV_0033
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	30430	30579	+	WP_158648639.1	WP_158648639.1		hypothetical protein		55636264	NCAV_RS08330	150	49	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	30681	31298	-						41594139	NCAV_RS00160	618		old_locus_tag=NCAV_0034
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	30681	31298	-	WP_103286458.1	WP_103286458.1		hypothetical protein		41594139	NCAV_RS00160	618	205	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	31446	31640	+						41594140	NCAV_RS00165	195		old_locus_tag=NCAV_0035
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	31446	31640	+	WP_103286457.1	WP_103286457.1		hypothetical protein		41594140	NCAV_RS00165	195	64	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	31674	32255	+						41594141	NCAV_RS00170	582		old_locus_tag=NCAV_0036
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	31674	32255	+	WP_103286456.1	WP_103286456.1		hemerythrin domain-containing protein		41594141	NCAV_RS00170	582	193	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	32288	33457	+						41594142	NCAV_RS00175	1170		old_locus_tag=NCAV_0037
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	32288	33457	+	WP_103286455.1	WP_103286455.1		FAD-binding oxidoreductase		41594142	NCAV_RS00175	1170	389	
gene	tRNA	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	33465	33549	-						41594143	NCAV_RS00180	85		old_locus_tag=NCAV_TRNA1
tRNA		GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	33465	33549	-				tRNA-Leu		41594143	NCAV_RS00180	85		anticodon=CAG
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	33746	34306	-						41594144	NCAV_RS00185	561		old_locus_tag=NCAV_0038
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	33746	34306	-	WP_103286454.1	WP_103286454.1		hypothetical protein		41594144	NCAV_RS00185	561	186	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	34392	34850	-						41594145	NCAV_RS00190	459		old_locus_tag=NCAV_0039
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	34392	34850	-	WP_158648638.1	WP_158648638.1		Hsp20/alpha crystallin family protein		41594145	NCAV_RS00190	459	152	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	34856	35587	-						41594146	NCAV_RS00195	732		old_locus_tag=NCAV_0040
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	34856	35587	-	WP_103286452.1	WP_103286452.1		PAC2 family protein		41594146	NCAV_RS00195	732	243	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	35629	36216	-						41594147	NCAV_RS00200	588		old_locus_tag=NCAV_0041
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	35629	36216	-	WP_103286451.1	WP_103286451.1		Hsp20/alpha crystallin family protein		41594147	NCAV_RS00200	588	195	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	36421	37125	-						69055559	NCAV_RS08655	705		
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	36421	37125	-	WP_231911589.1	WP_231911589.1		J domain-containing protein		69055559	NCAV_RS08655	705	234	
gene	pseudogene	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	37366	37581	-						69055560	NCAV_RS08660	216		partial;pseudo
CDS	without_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	37366	37581	-				DnaJ domain-containing protein		69055560	NCAV_RS08660	216		partial;pseudo
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	37644	39473	-					dnaK	41594149	NCAV_RS00210	1830		old_locus_tag=NCAV_0043
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	37644	39473	-	WP_103286449.1	WP_103286449.1		molecular chaperone DnaK	dnaK	41594149	NCAV_RS00210	1830	609	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	39470	40036	-						41594150	NCAV_RS00215	567		old_locus_tag=NCAV_0044
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	39470	40036	-	WP_103286448.1	WP_103286448.1		nucleotide exchange factor GrpE		41594150	NCAV_RS00215	567	188	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	40081	41229	-						41594151	NCAV_RS00220	1149		old_locus_tag=NCAV_0045
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	40081	41229	-	WP_103286447.1	WP_103286447.1		hypothetical protein		41594151	NCAV_RS00220	1149	382	
gene	tRNA	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	41325	41427	+						41594152	NCAV_RS00225	103		
tRNA		GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	41325	41427	+				tRNA-Gln		41594152	NCAV_RS00225	76		anticodon=TTG
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	42263	42784	+						41594153	NCAV_RS00230	522		old_locus_tag=NCAV_0046
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	42263	42784	+	WP_103286446.1	WP_103286446.1		transcription factor		41594153	NCAV_RS00230	522	173	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	42841	43530	-						41594154	NCAV_RS00235	690		old_locus_tag=NCAV_0047
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	42841	43530	-	WP_197706636.1	WP_197706636.1		2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase		41594154	NCAV_RS00235	690	229	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	43537	44808	-						41594155	NCAV_RS00240	1272		old_locus_tag=NCAV_0048
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	43537	44808	-	WP_103286445.1	WP_103286445.1		amidohydrolase family protein		41594155	NCAV_RS00240	1272	423	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	44799	45611	-						41594156	NCAV_RS00245	813		old_locus_tag=NCAV_0049
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	44799	45611	-	WP_103286444.1	WP_103286444.1		GTP cyclohydrolase IIa		41594156	NCAV_RS00245	813	270	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	45638	46177	-					ribH	41594157	NCAV_RS00250	540		old_locus_tag=NCAV_0050
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	45638	46177	-	WP_231911521.1	WP_231911521.1		6,7-dimethyl-8-ribityllumazine synthase	ribH	41594157	NCAV_RS00250	540	179	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	46184	46918	-					ribB	41594158	NCAV_RS00255	735		old_locus_tag=NCAV_0051
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	46184	46918	-	WP_103286443.1	WP_103286443.1		3,4-dihydroxy-2-butanone-4-phosphate synthase	ribB	41594158	NCAV_RS00255	735	244	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	46965	47585	-						41594159	NCAV_RS00260	621		old_locus_tag=NCAV_0052
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	46965	47585	-	WP_158648637.1	WP_158648637.1		riboflavin synthase		41594159	NCAV_RS00260	621	206	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	47606	48481	-						41594160	NCAV_RS00265	876		old_locus_tag=NCAV_0053
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	47606	48481	-	WP_103286441.1	WP_103286441.1		CoA ester lyase		41594160	NCAV_RS00265	876	291	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	48555	49604	-						41594161	NCAV_RS00270	1050		old_locus_tag=NCAV_0054
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	48555	49604	-	WP_103287836.1	WP_103287836.1		zinc-binding dehydrogenase		41594161	NCAV_RS00270	1050	349	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	49714	50037	+						41594162	NCAV_RS00275	324		old_locus_tag=NCAV_0055
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	49714	50037	+	WP_103286440.1	WP_103286440.1		hypothetical protein		41594162	NCAV_RS00275	324	107	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	50096	50305	+						41594163	NCAV_RS00280	210		old_locus_tag=NCAV_0056
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	50096	50305	+	WP_103286439.1	WP_103286439.1		hypothetical protein		41594163	NCAV_RS00280	210	69	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	50459	50713	+						41594164	NCAV_RS00285	255		old_locus_tag=NCAV_0057
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	50459	50713	+	WP_103286438.1	WP_103286438.1		Lrp/AsnC ligand binding domain-containing protein		41594164	NCAV_RS00285	255	84	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	50703	51896	-						41594165	NCAV_RS00290	1194		old_locus_tag=NCAV_0058
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	50703	51896	-	WP_158648636.1	WP_158648636.1		aminotransferase class V-fold PLP-dependent enzyme		41594165	NCAV_RS00290	1194	397	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	51944	52621	+						41594166	NCAV_RS00295	678		old_locus_tag=NCAV_0059
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	51944	52621	+	WP_103286436.1	WP_103286436.1		hypothetical protein		41594166	NCAV_RS00295	678	225	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	52781	53128	-						41594167	NCAV_RS00300	348		old_locus_tag=NCAV_0060
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	52781	53128	-	WP_103286435.1	WP_103286435.1		hypothetical protein		41594167	NCAV_RS00300	348	115	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	53219	53542	-						41594168	NCAV_RS00305	324		old_locus_tag=NCAV_0061
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	53219	53542	-	WP_103286434.1	WP_103286434.1		hypothetical protein		41594168	NCAV_RS00305	324	107	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	53615	54121	+						41594169	NCAV_RS00310	507		old_locus_tag=NCAV_0062
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	53615	54121	+	WP_103286433.1	WP_103286433.1		hypothetical protein		41594169	NCAV_RS00310	507	168	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	54233	54889	+						41594170	NCAV_RS00315	657		old_locus_tag=NCAV_0063
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	54233	54889	+	WP_103286432.1	WP_103286432.1		hypothetical protein		41594170	NCAV_RS00315	657	218	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	54930	55538	+						41594171	NCAV_RS00320	609		old_locus_tag=NCAV_0064
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	54930	55538	+	WP_103286431.1	WP_103286431.1		V-type ATP synthase subunit E		41594171	NCAV_RS00320	609	202	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	55543	57330	+						41594172	NCAV_RS00325	1788		old_locus_tag=NCAV_0065
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	55543	57330	+	WP_103286430.1	WP_103286430.1		V-type ATP synthase subunit A		41594172	NCAV_RS00325	1788	595	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	57323	58708	+						41594173	NCAV_RS00330	1386		old_locus_tag=NCAV_0066
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	57323	58708	+	WP_103286429.1	WP_103286429.1		V-type ATP synthase subunit B		41594173	NCAV_RS00330	1386	461	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	58828	59553	+						41594174	NCAV_RS00335	726		old_locus_tag=NCAV_0067
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	58828	59553	+	WP_103286428.1	WP_103286428.1		V-type ATP synthase subunit D		41594174	NCAV_RS00335	726	241	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	59873	60154	+						41594175	NCAV_RS00340	282		old_locus_tag=NCAV_0069
CDS	with_protein	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	59873	60154	+	WP_103287835.1	WP_103287835.1		ATP synthase subunit C		41594175	NCAV_RS00340	282	93	
gene	protein_coding	GCF_900248165.1	Primary Assembly	chromosome	NCAV	NZ_LT981265.1	60225	62399	+						41594176	NCAV_RS00345	2175		old_locus_tag=NCAV_0070
